class_name,class_number,doc_path,doc_id,zsl_split,gzsl_split
514,0,/home/lucasabm/datasets/la-cdip-3/514/2084089090.tif,2084089090.tif,0,0
514,0,/home/lucasabm/datasets/la-cdip-3/514/2084105160.tif,2084105160.tif,0,2
514,0,/home/lucasabm/datasets/la-cdip-3/514/2084088668.tif,2084088668.tif,0,0
514,0,/home/lucasabm/datasets/la-cdip-3/514/2084104906_4906a.tif,2084104906_4906a.tif,0,5
514,0,/home/lucasabm/datasets/la-cdip-3/514/2084104903.tif,2084104903.tif,0,0
514,0,/home/lucasabm/datasets/la-cdip-3/514/2084114220.tif,2084114220.tif,0,0
514,0,/home/lucasabm/datasets/la-cdip-3/514/2084113577.tif,2084113577.tif,0,4
514,0,/home/lucasabm/datasets/la-cdip-3/514/2084088911.tif,2084088911.tif,0,0
156,1,/home/lucasabm/datasets/la-cdip-3/156/2080483195.tif,2080483195.tif,3,5
156,1,/home/lucasabm/datasets/la-cdip-3/156/2073891497.tif,2073891497.tif,3,5
156,1,/home/lucasabm/datasets/la-cdip-3/156/2070869014.tif,2070869014.tif,3,5
156,1,/home/lucasabm/datasets/la-cdip-3/156/2085595807.tif,2085595807.tif,3,5
478,2,/home/lucasabm/datasets/la-cdip-3/478/2075321199.tif,2075321199.tif,2,2
478,2,/home/lucasabm/datasets/la-cdip-3/478/2075806829.tif,2075806829.tif,2,0
478,2,/home/lucasabm/datasets/la-cdip-3/478/2075977880.tif,2075977880.tif,2,5
buy_down_eval,3,/home/lucasabm/datasets/la-cdip-3/buy_down_eval/96211323.tif,96211323.tif,3,3
buy_down_eval,3,/home/lucasabm/datasets/la-cdip-3/buy_down_eval/98862551.tif,98862551.tif,3,2
355,4,/home/lucasabm/datasets/la-cdip-3/355/2030162566_2030162567.tif,2030162566_2030162567.tif,4,2
355,4,/home/lucasabm/datasets/la-cdip-3/355/2030112062_2030112063.tif,2030112062_2030112063.tif,4,2
483,5,/home/lucasabm/datasets/la-cdip-3/483/89430187.tif,89430187.tif,5,3
483,5,/home/lucasabm/datasets/la-cdip-3/483/89430326.tif,89430326.tif,5,0
483,5,/home/lucasabm/datasets/la-cdip-3/483/89347797.tif,89347797.tif,5,5
402,6,/home/lucasabm/datasets/la-cdip-3/402/0060033134.tif,0060033134.tif,0,5
402,6,/home/lucasabm/datasets/la-cdip-3/402/0060033160.tif,0060033160.tif,0,2
402,6,/home/lucasabm/datasets/la-cdip-3/402/0060033194.tif,0060033194.tif,0,0
402,6,/home/lucasabm/datasets/la-cdip-3/402/0060033153.tif,0060033153.tif,0,3
402,6,/home/lucasabm/datasets/la-cdip-3/402/0060033168.tif,0060033168.tif,0,1
487,7,/home/lucasabm/datasets/la-cdip-3/487/2026189043.tif,2026189043.tif,2,2
487,7,/home/lucasabm/datasets/la-cdip-3/487/2022952767.tif,2022952767.tif,2,2
487,7,/home/lucasabm/datasets/la-cdip-3/487/2026188450.tif,2026188450.tif,2,2
487,7,/home/lucasabm/datasets/la-cdip-3/487/2026189618.tif,2026189618.tif,2,2
487,7,/home/lucasabm/datasets/la-cdip-3/487/2026193784.tif,2026193784.tif,2,2
487,7,/home/lucasabm/datasets/la-cdip-3/487/2022952764.tif,2022952764.tif,2,2
487,7,/home/lucasabm/datasets/la-cdip-3/487/2026188405.tif,2026188405.tif,2,2
487,7,/home/lucasabm/datasets/la-cdip-3/487/2025992080.tif,2025992080.tif,2,2
487,7,/home/lucasabm/datasets/la-cdip-3/487/2026188575.tif,2026188575.tif,2,2
487,7,/home/lucasabm/datasets/la-cdip-3/487/2026188810.tif,2026188810.tif,2,2
487,7,/home/lucasabm/datasets/la-cdip-3/487/2026192607.tif,2026192607.tif,2,2
487,7,/home/lucasabm/datasets/la-cdip-3/487/2026192583.tif,2026192583.tif,2,2
487,7,/home/lucasabm/datasets/la-cdip-3/487/2026188264.tif,2026188264.tif,2,2
487,7,/home/lucasabm/datasets/la-cdip-3/487/2026188519.tif,2026188519.tif,2,2
487,7,/home/lucasabm/datasets/la-cdip-3/487/2026188743.tif,2026188743.tif,2,2
487,7,/home/lucasabm/datasets/la-cdip-3/487/2026188407.tif,2026188407.tif,2,2
487,7,/home/lucasabm/datasets/la-cdip-3/487/2026188384.tif,2026188384.tif,2,2
487,7,/home/lucasabm/datasets/la-cdip-3/487/2026189010.tif,2026189010.tif,2,2
487,7,/home/lucasabm/datasets/la-cdip-3/487/2026187902.tif,2026187902.tif,2,2
487,7,/home/lucasabm/datasets/la-cdip-3/487/2026188251.tif,2026188251.tif,2,2
360,8,/home/lucasabm/datasets/la-cdip-3/360/2051120099_2051120102.tif,2051120099_2051120102.tif,5,3
360,8,/home/lucasabm/datasets/la-cdip-3/360/2051119008.tif,2051119008.tif,5,2
414,9,/home/lucasabm/datasets/la-cdip-3/414/2040973901_2040973902.tif,2040973901_2040973902.tif,1,3
414,9,/home/lucasabm/datasets/la-cdip-3/414/2040974782_2040974783.tif,2040974782_2040974783.tif,1,3
463,10,/home/lucasabm/datasets/la-cdip-3/463/0011903368.tif,0011903368.tif,5,5
463,10,/home/lucasabm/datasets/la-cdip-3/463/0011903557.tif,0011903557.tif,5,4
463,10,/home/lucasabm/datasets/la-cdip-3/463/0011902694.tif,0011902694.tif,5,1
463,10,/home/lucasabm/datasets/la-cdip-3/463/0011903351.tif,0011903351.tif,5,5
415,11,/home/lucasabm/datasets/la-cdip-3/415/2073528608.tif,2073528608.tif,0,1
415,11,/home/lucasabm/datasets/la-cdip-3/415/2069751170_1171.tif,2069751170_1171.tif,0,1
separated_preface,12,/home/lucasabm/datasets/la-cdip-3/separated_preface/10408422_10408424.tif,10408422_10408424.tif,2,1
separated_preface,12,/home/lucasabm/datasets/la-cdip-3/separated_preface/50614722-4733.tif,50614722-4733.tif,2,1
separated_preface,12,/home/lucasabm/datasets/la-cdip-3/separated_preface/50545978-5978.tif,50545978-5978.tif,2,1
separated_preface,12,/home/lucasabm/datasets/la-cdip-3/separated_preface/2065392042_2044.tif,2065392042_2044.tif,2,1
separated_preface,12,/home/lucasabm/datasets/la-cdip-3/separated_preface/50644858-4858.tif,50644858-4858.tif,2,1
separated_preface,12,/home/lucasabm/datasets/la-cdip-3/separated_preface/50530773-0773.tif,50530773-0773.tif,2,1
separated_preface,12,/home/lucasabm/datasets/la-cdip-3/separated_preface/10336672_10336681.tif,10336672_10336681.tif,2,1
separated_preface,12,/home/lucasabm/datasets/la-cdip-3/separated_preface/40022025-2032.tif,40022025-2032.tif,2,1
separated_preface,12,/home/lucasabm/datasets/la-cdip-3/separated_preface/50671206-1217.tif,50671206-1217.tif,2,1
separated_preface,12,/home/lucasabm/datasets/la-cdip-3/separated_preface/50731114-1131.tif,50731114-1131.tif,2,1
separated_preface,12,/home/lucasabm/datasets/la-cdip-3/separated_preface/2046590400.tif,2046590400.tif,2,1
separated_preface,12,/home/lucasabm/datasets/la-cdip-3/separated_preface/2050236763_2050236767.tif,2050236763_2050236767.tif,2,1
separated_preface,12,/home/lucasabm/datasets/la-cdip-3/separated_preface/50528203-8203.tif,50528203-8203.tif,2,1
separated_preface,12,/home/lucasabm/datasets/la-cdip-3/separated_preface/2501117962_2501117966.tif,2501117962_2501117966.tif,2,1
separated_preface,12,/home/lucasabm/datasets/la-cdip-3/separated_preface/83304113_4114.tif,83304113_4114.tif,2,1
separated_preface,12,/home/lucasabm/datasets/la-cdip-3/separated_preface/40012199-2210.tif,40012199-2210.tif,2,1
separated_preface,12,/home/lucasabm/datasets/la-cdip-3/separated_preface/2505365546.tif,2505365546.tif,2,1
separated_preface,12,/home/lucasabm/datasets/la-cdip-3/separated_preface/2028906178.tif,2028906178.tif,2,1
separated_preface,12,/home/lucasabm/datasets/la-cdip-3/separated_preface/10177319_10177323.tif,10177319_10177323.tif,2,1
separated_preface,12,/home/lucasabm/datasets/la-cdip-3/separated_preface/50478253-8253.tif,50478253-8253.tif,2,1
separated_preface,12,/home/lucasabm/datasets/la-cdip-3/separated_preface/50505030-5030.tif,50505030-5030.tif,2,1
separated_preface,12,/home/lucasabm/datasets/la-cdip-3/separated_preface/50417770-7770.tif,50417770-7770.tif,2,1
